,point,Building,Equipment_Type,Equipment_Number,Sensor_Type
0,ACAD.AHU.AHU01.Building Static Pressure,ACAD,AHU,AHU01,Building Static Pressure
1,ACAD.AHU.AHU01.CCV,ACAD,AHU,AHU01,CCV
2,ACAD.AHU.AHU01.Cooling Valve Output,ACAD,AHU,AHU01,Cooling Valve Output
3,ACAD.AHU.AHU01.Economizer Mode,ACAD,AHU,AHU01,Economizer Mode
4,ACAD.AHU.AHU01.FILTER,ACAD,AHU,AHU01,FILTER
5,ACAD.AHU.AHU01.HCV,ACAD,AHU,AHU01,HCV
6,ACAD.AHU.AHU01.Heating Valve Output,ACAD,AHU,AHU01,Heating Valve Output
7,ACAD.AHU.AHU01.Minimum Outside Air Damper,ACAD,AHU,AHU01,Minimum Outside Air Damper
8,ACAD.AHU.AHU01.Mixed Air Damper Command,ACAD,AHU,AHU01,Mixed Air Damper Command
9,ACAD.AHU.AHU01.Mixed Air Damper Output,ACAD,AHU,AHU01,Mixed Air Damper Output
10,ACAD.AHU.AHU01.Mixed Air Temp,ACAD,AHU,AHU01,Mixed Air Temp
11,ACAD.AHU.AHU01.MODE,ACAD,AHU,AHU01,MODE
12,ACAD.AHU.AHU01.Outside Air Temp,ACAD,AHU,AHU01,Outside Air Temp
13,ACAD.AHU.AHU01.Outside Air Temp Virt,ACAD,AHU,AHU01,Outside Air Temp Virt
14,ACAD.AHU.AHU01.Return Air Fan Start/Stop,ACAD,AHU,AHU01,Return Air Fan Start/Stop
15,ACAD.AHU.AHU01.Return Air Fan VFD Power HP,ACAD,AHU,AHU01,Return Air Fan VFD Power HP
16,ACAD.AHU.AHU01.Return Air Temp,ACAD,AHU,AHU01,Return Air Temp
17,ACAD.AHU.AHU01.Return Fan Speed,ACAD,AHU,AHU01,Return Fan Speed
18,ACAD.AHU.AHU01.Return Fan Status,ACAD,AHU,AHU01,Return Fan Status
19,ACAD.AHU.AHU01.Return Fan VFD Frequency,ACAD,AHU,AHU01,Return Fan VFD Frequency
20,ACAD.AHU.AHU01.Supply Air Fan Start/Stop,ACAD,AHU,AHU01,Supply Air Fan Start/Stop
21,ACAD.AHU.AHU01.Supply Air Fan VFD Power HP,ACAD,AHU,AHU01,Supply Air Fan VFD Power HP
22,ACAD.AHU.AHU01.Supply Air Pressure,ACAD,AHU,AHU01,Supply Air Pressure
23,ACAD.AHU.AHU01.Supply Air Pressure Sp,ACAD,AHU,AHU01,Supply Air Pressure Sp
24,ACAD.AHU.AHU01.Supply Air Temp,ACAD,AHU,AHU01,Supply Air Temp
25,ACAD.AHU.AHU01.Supply Air Temp Sp,ACAD,AHU,AHU01,Supply Air Temp Sp
26,ACAD.AHU.AHU01.Supply Fan Speed,ACAD,AHU,AHU01,Supply Fan Speed
27,ACAD.AHU.AHU01.Supply Fan Status,ACAD,AHU,AHU01,Supply Fan Status
28,ACAD.AHU.AHU01.Supply Fan VFD Frequency,ACAD,AHU,AHU01,Supply Fan VFD Frequency
29,ACAD.AHU.AHU02.Building Static Pressure,ACAD,AHU,AHU02,Building Static Pressure
30,ACAD.AHU.AHU02.CCV,ACAD,AHU,AHU02,CCV
31,ACAD.AHU.AHU02.Cooling Valve Output,ACAD,AHU,AHU02,Cooling Valve Output
32,ACAD.AHU.AHU02.Economizer Mode,ACAD,AHU,AHU02,Economizer Mode
33,ACAD.AHU.AHU02.FILTER,ACAD,AHU,AHU02,FILTER
34,ACAD.AHU.AHU02.HCV,ACAD,AHU,AHU02,HCV
35,ACAD.AHU.AHU02.Heating Valve Output,ACAD,AHU,AHU02,Heating Valve Output
36,ACAD.AHU.AHU02.Minimum Outside Air Damper,ACAD,AHU,AHU02,Minimum Outside Air Damper
37,ACAD.AHU.AHU02.Mixed Air Damper Command,ACAD,AHU,AHU02,Mixed Air Damper Command
38,ACAD.AHU.AHU02.Mixed Air Damper Output,ACAD,AHU,AHU02,Mixed Air Damper Output
39,ACAD.AHU.AHU02.Mixed Air Temp,ACAD,AHU,AHU02,Mixed Air Temp
40,ACAD.AHU.AHU02.MODE,ACAD,AHU,AHU02,MODE
41,ACAD.AHU.AHU02.Outside Air Flow,ACAD,AHU,AHU02,Outside Air Flow
42,ACAD.AHU.AHU02.Outside Air Temp,ACAD,AHU,AHU02,Outside Air Temp
43,ACAD.AHU.AHU02.Outside Air Temp Virt,ACAD,AHU,AHU02,Outside Air Temp Virt
44,ACAD.AHU.AHU02.Return Air Fan Start/Stop,ACAD,AHU,AHU02,Return Air Fan Start/Stop
45,ACAD.AHU.AHU02.Return Air Fan VFD Power HP,ACAD,AHU,AHU02,Return Air Fan VFD Power HP
46,ACAD.AHU.AHU02.Return Air Temp,ACAD,AHU,AHU02,Return Air Temp
47,ACAD.AHU.AHU02.Return Fan Speed,ACAD,AHU,AHU02,Return Fan Speed
48,ACAD.AHU.AHU02.Return Fan Status,ACAD,AHU,AHU02,Return Fan Status
49,ACAD.AHU.AHU02.Return Fan VFD Frequency,ACAD,AHU,AHU02,Return Fan VFD Frequency
50,ACAD.AHU.AHU02.SSD,ACAD,AHU,AHU02,SSD
51,ACAD.AHU.AHU02.Supply Air Fan Start/Stop,ACAD,AHU,AHU02,Supply Air Fan Start/Stop
52,ACAD.AHU.AHU02.Supply Air Fan VFD Power HP,ACAD,AHU,AHU02,Supply Air Fan VFD Power HP
53,ACAD.AHU.AHU02.Supply Air Pressure,ACAD,AHU,AHU02,Supply Air Pressure
54,ACAD.AHU.AHU02.Supply Air Pressure Sp,ACAD,AHU,AHU02,Supply Air Pressure Sp
55,ACAD.AHU.AHU02.Supply Air Temp,ACAD,AHU,AHU02,Supply Air Temp
56,ACAD.AHU.AHU02.Supply Air Temp Sp,ACAD,AHU,AHU02,Supply Air Temp Sp
57,ACAD.AHU.AHU02.Supply Fan Speed,ACAD,AHU,AHU02,Supply Fan Speed
58,ACAD.AHU.AHU02.Supply Fan Status,ACAD,AHU,AHU02,Supply Fan Status
59,ACAD.AHU.AHU02.Supply Fan VFD Frequency,ACAD,AHU,AHU02,Supply Fan VFD Frequency
60,ACAD.AHU.AHU03.CCV,ACAD,AHU,AHU03,CCV
61,ACAD.AHU.AHU03.Cooling Valve Output,ACAD,AHU,AHU03,Cooling Valve Output
62,ACAD.AHU.AHU03.Economizer Mode,ACAD,AHU,AHU03,Economizer Mode
63,ACAD.AHU.AHU03.FILTER,ACAD,AHU,AHU03,FILTER
64,ACAD.AHU.AHU03.HCV,ACAD,AHU,AHU03,HCV
65,ACAD.AHU.AHU03.Heating Valve Output,ACAD,AHU,AHU03,Heating Valve Output
66,ACAD.AHU.AHU03.Mixed Air Damper Command,ACAD,AHU,AHU03,Mixed Air Damper Command
67,ACAD.AHU.AHU03.Mixed Air Damper Output,ACAD,AHU,AHU03,Mixed Air Damper Output
68,ACAD.AHU.AHU03.Mixed Air Temp,ACAD,AHU,AHU03,Mixed Air Temp
69,ACAD.AHU.AHU03.MODE,ACAD,AHU,AHU03,MODE
70,ACAD.AHU.AHU03.Outside Air Temp,ACAD,AHU,AHU03,Outside Air Temp
71,ACAD.AHU.AHU03.Outside Air Temp Virt,ACAD,AHU,AHU03,Outside Air Temp Virt
72,ACAD.AHU.AHU03.Return Air Fan Start/Stop,ACAD,AHU,AHU03,Return Air Fan Start/Stop
73,ACAD.AHU.AHU03.Return Air Temp,ACAD,AHU,AHU03,Return Air Temp
74,ACAD.AHU.AHU03.Return Fan Speed,ACAD,AHU,AHU03,Return Fan Speed
75,ACAD.AHU.AHU03.Return Fan Status,ACAD,AHU,AHU03,Return Fan Status
76,ACAD.AHU.AHU03.Return Fan VFD Frequency,ACAD,AHU,AHU03,Return Fan VFD Frequency
77,ACAD.AHU.AHU03.Supply Air Fan Start/Stop,ACAD,AHU,AHU03,Supply Air Fan Start/Stop
78,ACAD.AHU.AHU03.Supply Air Fan VFD Power HP,ACAD,AHU,AHU03,Supply Air Fan VFD Power HP
79,ACAD.AHU.AHU03.Supply Air Temp,ACAD,AHU,AHU03,Supply Air Temp
80,ACAD.AHU.AHU03.Supply Air Temp Sp,ACAD,AHU,AHU03,Supply Air Temp Sp
81,ACAD.AHU.AHU03.Supply Fan Speed,ACAD,AHU,AHU03,Supply Fan Speed
82,ACAD.AHU.AHU03.Supply Fan Status,ACAD,AHU,AHU03,Supply Fan Status
83,ACAD.AHU.AHU03.Supply Fan VFD Frequency,ACAD,AHU,AHU03,Supply Fan VFD Frequency
84,ACAD.AHU.AHU04.Building Static Pressure,ACAD,AHU,AHU04,Building Static Pressure
85,ACAD.AHU.AHU04.CCV,ACAD,AHU,AHU04,CCV
86,ACAD.AHU.AHU04.Cooling Valve Output,ACAD,AHU,AHU04,Cooling Valve Output
87,ACAD.AHU.AHU04.Economizer Mode,ACAD,AHU,AHU04,Economizer Mode
88,ACAD.AHU.AHU04.FILTER,ACAD,AHU,AHU04,FILTER
89,ACAD.AHU.AHU04.HCV,ACAD,AHU,AHU04,HCV
90,ACAD.AHU.AHU04.Heating Valve Output,ACAD,AHU,AHU04,Heating Valve Output
91,ACAD.AHU.AHU04.Minimum Outside Air Damper,ACAD,AHU,AHU04,Minimum Outside Air Damper
92,ACAD.AHU.AHU04.Mixed Air Damper Command,ACAD,AHU,AHU04,Mixed Air Damper Command
93,ACAD.AHU.AHU04.Mixed Air Damper Output,ACAD,AHU,AHU04,Mixed Air Damper Output
94,ACAD.AHU.AHU04.Mixed Air Temp,ACAD,AHU,AHU04,Mixed Air Temp
95,ACAD.AHU.AHU04.MODE,ACAD,AHU,AHU04,MODE
96,ACAD.AHU.AHU04.Outside Air Flow,ACAD,AHU,AHU04,Outside Air Flow
97,ACAD.AHU.AHU04.Outside Air Temp,ACAD,AHU,AHU04,Outside Air Temp
98,ACAD.AHU.AHU04.Outside Air Temp Virt,ACAD,AHU,AHU04,Outside Air Temp Virt
99,ACAD.AHU.AHU04.Return Air Fan Start/Stop,ACAD,AHU,AHU04,Return Air Fan Start/Stop
100,ACAD.AHU.AHU04.Return Air Fan VFD Power HP,ACAD,AHU,AHU04,Return Air Fan VFD Power HP
101,ACAD.AHU.AHU04.Return Air Temp,ACAD,AHU,AHU04,Return Air Temp
102,ACAD.AHU.AHU04.Return Fan Speed,ACAD,AHU,AHU04,Return Fan Speed
103,ACAD.AHU.AHU04.Return Fan Status,ACAD,AHU,AHU04,Return Fan Status
104,ACAD.AHU.AHU04.Return Fan VFD Frequency,ACAD,AHU,AHU04,Return Fan VFD Frequency
105,ACAD.AHU.AHU04.Supply Air Fan Start/Stop,ACAD,AHU,AHU04,Supply Air Fan Start/Stop
106,ACAD.AHU.AHU04.Supply Air Fan VFD Power HP,ACAD,AHU,AHU04,Supply Air Fan VFD Power HP
107,ACAD.AHU.AHU04.Supply Air Pressure,ACAD,AHU,AHU04,Supply Air Pressure
108,ACAD.AHU.AHU04.Supply Air Pressure Sp,ACAD,AHU,AHU04,Supply Air Pressure Sp
109,ACAD.AHU.AHU04.Supply Air Temp,ACAD,AHU,AHU04,Supply Air Temp
110,ACAD.AHU.AHU04.Supply Air Temp Sp,ACAD,AHU,AHU04,Supply Air Temp Sp
111,ACAD.AHU.AHU04.Supply Fan Speed,ACAD,AHU,AHU04,Supply Fan Speed
112,ACAD.AHU.AHU04.Supply Fan Status,ACAD,AHU,AHU04,Supply Fan Status
113,ACAD.AHU.AHU04.Supply Fan VFD Frequency,ACAD,AHU,AHU04,Supply Fan VFD Frequency
114,ACAD.AHU.AHU05.CCV,ACAD,AHU,AHU05,CCV
115,ACAD.AHU.AHU05.Cooling Valve Output,ACAD,AHU,AHU05,Cooling Valve Output
116,ACAD.AHU.AHU05.Economizer Mode,ACAD,AHU,AHU05,Economizer Mode
117,ACAD.AHU.AHU05.FILTER,ACAD,AHU,AHU05,FILTER
118,ACAD.AHU.AHU05.FP SP,ACAD,AHU,AHU05,FP SP
119,ACAD.AHU.AHU05.Minimum Outside Air Damper,ACAD,AHU,AHU05,Minimum Outside Air Damper
120,ACAD.AHU.AHU05.Mixed Air Damper Command,ACAD,AHU,AHU05,Mixed Air Damper Command
121,ACAD.AHU.AHU05.Mixed Air Damper Output,ACAD,AHU,AHU05,Mixed Air Damper Output
122,ACAD.AHU.AHU05.Mixed Air Temp,ACAD,AHU,AHU05,Mixed Air Temp
123,ACAD.AHU.AHU05.MODE,ACAD,AHU,AHU05,MODE
124,ACAD.AHU.AHU05.Outside Air Flow,ACAD,AHU,AHU05,Outside Air Flow
125,ACAD.AHU.AHU05.Outside Air Temp,ACAD,AHU,AHU05,Outside Air Temp
126,ACAD.AHU.AHU05.Outside Air Temp Virt,ACAD,AHU,AHU05,Outside Air Temp Virt
127,ACAD.AHU.AHU05.Return Air Fan Start/Stop,ACAD,AHU,AHU05,Return Air Fan Start/Stop
128,ACAD.AHU.AHU05.Return Air Fan VFD Power HP,ACAD,AHU,AHU05,Return Air Fan VFD Power HP
129,ACAD.AHU.AHU05.Return Air Temp,ACAD,AHU,AHU05,Return Air Temp
130,ACAD.AHU.AHU05.Return Fan Speed,ACAD,AHU,AHU05,Return Fan Speed
131,ACAD.AHU.AHU05.Return Fan Status,ACAD,AHU,AHU05,Return Fan Status
132,ACAD.AHU.AHU05.Return Fan VFD Frequency,ACAD,AHU,AHU05,Return Fan VFD Frequency
133,ACAD.AHU.AHU05.RSP,ACAD,AHU,AHU05,RSP
134,ACAD.AHU.AHU05.SA FLOW,ACAD,AHU,AHU05,SA FLOW
135,ACAD.AHU.AHU05.Supply Air Fan Start/Stop,ACAD,AHU,AHU05,Supply Air Fan Start/Stop
136,ACAD.AHU.AHU05.Supply Air Fan VFD Power HP,ACAD,AHU,AHU05,Supply Air Fan VFD Power HP
137,ACAD.AHU.AHU05.Supply Air Pressure,ACAD,AHU,AHU05,Supply Air Pressure
138,ACAD.AHU.AHU05.Supply Air Temp,ACAD,AHU,AHU05,Supply Air Temp
139,ACAD.AHU.AHU05.Supply Air Temp Sp,ACAD,AHU,AHU05,Supply Air Temp Sp
140,ACAD.AHU.AHU05.Supply Fan Speed,ACAD,AHU,AHU05,Supply Fan Speed
141,ACAD.AHU.AHU05.Supply Fan Status,ACAD,AHU,AHU05,Supply Fan Status
142,ACAD.AHU.AHU05.Supply Fan VFD Frequency,ACAD,AHU,AHU05,Supply Fan VFD Frequency
143,ACAD.AHU.AHU05.ZSP,ACAD,AHU,AHU05,ZSP
144,ACAD.AHU.AHU06.Building Static Pressure,ACAD,AHU,AHU06,Building Static Pressure
145,ACAD.AHU.AHU06.CCV,ACAD,AHU,AHU06,CCV
146,ACAD.AHU.AHU06.Cooling Valve Output,ACAD,AHU,AHU06,Cooling Valve Output
147,ACAD.AHU.AHU06.Economizer Mode,ACAD,AHU,AHU06,Economizer Mode
148,ACAD.AHU.AHU06.FILTER,ACAD,AHU,AHU06,FILTER
149,ACAD.AHU.AHU06.HCV,ACAD,AHU,AHU06,HCV
150,ACAD.AHU.AHU06.Heating Valve Output,ACAD,AHU,AHU06,Heating Valve Output
151,ACAD.AHU.AHU06.Minimum Outside Air Damper,ACAD,AHU,AHU06,Minimum Outside Air Damper
152,ACAD.AHU.AHU06.Mixed Air Damper Command,ACAD,AHU,AHU06,Mixed Air Damper Command
153,ACAD.AHU.AHU06.Mixed Air Damper Output,ACAD,AHU,AHU06,Mixed Air Damper Output
154,ACAD.AHU.AHU06.Mixed Air Temp,ACAD,AHU,AHU06,Mixed Air Temp
155,ACAD.AHU.AHU06.MODE,ACAD,AHU,AHU06,MODE
156,ACAD.AHU.AHU06.Outside Air Flow,ACAD,AHU,AHU06,Outside Air Flow
157,ACAD.AHU.AHU06.Outside Air Temp,ACAD,AHU,AHU06,Outside Air Temp
158,ACAD.AHU.AHU06.Outside Air Temp Virt,ACAD,AHU,AHU06,Outside Air Temp Virt
159,ACAD.AHU.AHU06.Return Air Fan Start/Stop,ACAD,AHU,AHU06,Return Air Fan Start/Stop
160,ACAD.AHU.AHU06.Return Air Fan VFD Power HP,ACAD,AHU,AHU06,Return Air Fan VFD Power HP
161,ACAD.AHU.AHU06.Return Air Temp,ACAD,AHU,AHU06,Return Air Temp
162,ACAD.AHU.AHU06.Return Fan Speed,ACAD,AHU,AHU06,Return Fan Speed
163,ACAD.AHU.AHU06.Return Fan Status,ACAD,AHU,AHU06,Return Fan Status
164,ACAD.AHU.AHU06.Return Fan VFD Frequency,ACAD,AHU,AHU06,Return Fan VFD Frequency
165,ACAD.AHU.AHU06.Supply Air Fan Start/Stop,ACAD,AHU,AHU06,Supply Air Fan Start/Stop
166,ACAD.AHU.AHU06.Supply Air Fan VFD Power HP,ACAD,AHU,AHU06,Supply Air Fan VFD Power HP
167,ACAD.AHU.AHU06.Supply Air Pressure,ACAD,AHU,AHU06,Supply Air Pressure
168,ACAD.AHU.AHU06.Supply Air Pressure Sp,ACAD,AHU,AHU06,Supply Air Pressure Sp
169,ACAD.AHU.AHU06.Supply Air Temp,ACAD,AHU,AHU06,Supply Air Temp
170,ACAD.AHU.AHU06.Supply Air Temp Sp,ACAD,AHU,AHU06,Supply Air Temp Sp
171,ACAD.AHU.AHU06.Supply Fan Speed,ACAD,AHU,AHU06,Supply Fan Speed
172,ACAD.AHU.AHU06.Supply Fan Status,ACAD,AHU,AHU06,Supply Fan Status
173,ACAD.AHU.AHU06.Supply Fan VFD Frequency,ACAD,AHU,AHU06,Supply Fan VFD Frequency
174,ACAD.AHU.AHU07.1ST FL CENTER HALL:AI 3,ACAD,AHU,AHU07,1ST FL CENTER HALL:AI 3
175,ACAD.AHU.AHU07.1ST FL CENTER HALL:CTL STPT,ACAD,AHU,AHU07,1ST FL CENTER HALL:CTL STPT
176,ACAD.AHU.AHU07.1ST FL CENTER HALL:DMPR COMD,ACAD,AHU,AHU07,1ST FL CENTER HALL:DMPR COMD
177,ACAD.AHU.AHU07.1ST FL CENTER HALL:FLOW,ACAD,AHU,AHU07,1ST FL CENTER HALL:FLOW
178,ACAD.AHU.AHU07.1ST FL CENTER HALL:ROOM TEMP,ACAD,AHU,AHU07,1ST FL CENTER HALL:ROOM TEMP
179,ACAD.AHU.AHU07.1ST FL CENTER HALL:VLV COMD,ACAD,AHU,AHU07,1ST FL CENTER HALL:VLV COMD
180,ACAD.AHU.AHU07.1ST FL CENTER HALL:Zone Supply Air Flow,ACAD,AHU,AHU07,1ST FL CENTER HALL:Zone Supply Air Flow
181,ACAD.AHU.AHU07.Building Static Pressure,ACAD,AHU,AHU07,Building Static Pressure
182,ACAD.AHU.AHU07.CCV,ACAD,AHU,AHU07,CCV
183,ACAD.AHU.AHU07.Cooling Valve Output,ACAD,AHU,AHU07,Cooling Valve Output
184,ACAD.AHU.AHU07.Economizer Mode,ACAD,AHU,AHU07,Economizer Mode
185,ACAD.AHU.AHU07.FILTER,ACAD,AHU,AHU07,FILTER
186,ACAD.AHU.AHU07.HCV,ACAD,AHU,AHU07,HCV
187,ACAD.AHU.AHU07.Heating Valve Output,ACAD,AHU,AHU07,Heating Valve Output
188,ACAD.AHU.AHU07.Minimum Outside Air Damper,ACAD,AHU,AHU07,Minimum Outside Air Damper
189,ACAD.AHU.AHU07.Mixed Air Damper Command,ACAD,AHU,AHU07,Mixed Air Damper Command
190,ACAD.AHU.AHU07.Mixed Air Damper Output,ACAD,AHU,AHU07,Mixed Air Damper Output
191,ACAD.AHU.AHU07.Mixed Air Temp,ACAD,AHU,AHU07,Mixed Air Temp
192,ACAD.AHU.AHU07.MODE,ACAD,AHU,AHU07,MODE
193,ACAD.AHU.AHU07.Outside Air Flow,ACAD,AHU,AHU07,Outside Air Flow
194,ACAD.AHU.AHU07.Outside Air Temp,ACAD,AHU,AHU07,Outside Air Temp
195,ACAD.AHU.AHU07.Outside Air Temp Virt,ACAD,AHU,AHU07,Outside Air Temp Virt
196,ACAD.AHU.AHU07.Return Air Fan Start/Stop,ACAD,AHU,AHU07,Return Air Fan Start/Stop
197,ACAD.AHU.AHU07.Return Air Fan VFD Power HP,ACAD,AHU,AHU07,Return Air Fan VFD Power HP
198,ACAD.AHU.AHU07.Return Air Temp,ACAD,AHU,AHU07,Return Air Temp
199,ACAD.AHU.AHU07.Return Fan Speed,ACAD,AHU,AHU07,Return Fan Speed
200,ACAD.AHU.AHU07.Return Fan Status,ACAD,AHU,AHU07,Return Fan Status
201,ACAD.AHU.AHU07.Return Fan VFD Frequency,ACAD,AHU,AHU07,Return Fan VFD Frequency
202,ACAD.AHU.AHU07.Supply Air Fan Start/Stop,ACAD,AHU,AHU07,Supply Air Fan Start/Stop
203,ACAD.AHU.AHU07.Supply Air Fan VFD Power HP,ACAD,AHU,AHU07,Supply Air Fan VFD Power HP
204,ACAD.AHU.AHU07.Supply Air Pressure,ACAD,AHU,AHU07,Supply Air Pressure
205,ACAD.AHU.AHU07.Supply Air Pressure Sp,ACAD,AHU,AHU07,Supply Air Pressure Sp
206,ACAD.AHU.AHU07.Supply Air Temp,ACAD,AHU,AHU07,Supply Air Temp
207,ACAD.AHU.AHU07.Supply Air Temp Sp,ACAD,AHU,AHU07,Supply Air Temp Sp
208,ACAD.AHU.AHU07.Supply Fan Speed,ACAD,AHU,AHU07,Supply Fan Speed
209,ACAD.AHU.AHU07.Supply Fan Status,ACAD,AHU,AHU07,Supply Fan Status
210,ACAD.AHU.AHU07.Supply Fan VFD Frequency,ACAD,AHU,AHU07,Supply Fan VFD Frequency
211,ACAD.AHU.AHU08.Building Static Pressure,ACAD,AHU,AHU08,Building Static Pressure
212,ACAD.AHU.AHU08.CCV,ACAD,AHU,AHU08,CCV
213,ACAD.AHU.AHU08.Cooling Valve Output,ACAD,AHU,AHU08,Cooling Valve Output
214,ACAD.AHU.AHU08.Economizer Mode,ACAD,AHU,AHU08,Economizer Mode
215,ACAD.AHU.AHU08.FILTER,ACAD,AHU,AHU08,FILTER
216,ACAD.AHU.AHU08.HCV,ACAD,AHU,AHU08,HCV
217,ACAD.AHU.AHU08.Heating Valve Output,ACAD,AHU,AHU08,Heating Valve Output
218,ACAD.AHU.AHU08.Minimum Outside Air Damper,ACAD,AHU,AHU08,Minimum Outside Air Damper
219,ACAD.AHU.AHU08.Mixed Air Damper Command,ACAD,AHU,AHU08,Mixed Air Damper Command
220,ACAD.AHU.AHU08.Mixed Air Damper Output,ACAD,AHU,AHU08,Mixed Air Damper Output
221,ACAD.AHU.AHU08.Mixed Air Temp,ACAD,AHU,AHU08,Mixed Air Temp
222,ACAD.AHU.AHU08.MODE,ACAD,AHU,AHU08,MODE
223,ACAD.AHU.AHU08.Outside Air Flow,ACAD,AHU,AHU08,Outside Air Flow
224,ACAD.AHU.AHU08.Outside Air Temp,ACAD,AHU,AHU08,Outside Air Temp
225,ACAD.AHU.AHU08.Outside Air Temp Virt,ACAD,AHU,AHU08,Outside Air Temp Virt
226,ACAD.AHU.AHU08.Return Air Fan Start/Stop,ACAD,AHU,AHU08,Return Air Fan Start/Stop
227,ACAD.AHU.AHU08.Return Air Fan VFD Power HP,ACAD,AHU,AHU08,Return Air Fan VFD Power HP
228,ACAD.AHU.AHU08.Return Air Temp,ACAD,AHU,AHU08,Return Air Temp
229,ACAD.AHU.AHU08.Return Fan Speed,ACAD,AHU,AHU08,Return Fan Speed
230,ACAD.AHU.AHU08.Return Fan Status,ACAD,AHU,AHU08,Return Fan Status
231,ACAD.AHU.AHU08.Return Fan VFD Frequency,ACAD,AHU,AHU08,Return Fan VFD Frequency
232,ACAD.AHU.AHU08.Supply Air Fan Start/Stop,ACAD,AHU,AHU08,Supply Air Fan Start/Stop
233,ACAD.AHU.AHU08.Supply Air Fan VFD Power HP,ACAD,AHU,AHU08,Supply Air Fan VFD Power HP
234,ACAD.AHU.AHU08.Supply Air Pressure,ACAD,AHU,AHU08,Supply Air Pressure
235,ACAD.AHU.AHU08.Supply Air Pressure Sp,ACAD,AHU,AHU08,Supply Air Pressure Sp
236,ACAD.AHU.AHU08.Supply Air Temp,ACAD,AHU,AHU08,Supply Air Temp
237,ACAD.AHU.AHU08.Supply Air Temp Sp,ACAD,AHU,AHU08,Supply Air Temp Sp
238,ACAD.AHU.AHU08.Supply Fan Speed,ACAD,AHU,AHU08,Supply Fan Speed
239,ACAD.AHU.AHU08.Supply Fan Status,ACAD,AHU,AHU08,Supply Fan Status
240,ACAD.AHU.AHU08.Supply Fan VFD Frequency,ACAD,AHU,AHU08,Supply Fan VFD Frequency
1356,AMRL.AHU.AHU01.CLGON,AMRL,AHU,AHU01,CLGON
1357,AMRL.AHU.AHU01.DOORENABLE,AMRL,AHU,AHU01,DOORENABLE
1358,AMRL.AHU.AHU01.FASYS,AMRL,AHU,AHU01,FASYS
1359,AMRL.AHU.AHU01.Heating Valve Command,AMRL,AHU,AHU01,Heating Valve Command
1360,AMRL.AHU.AHU01.Heating Valve Output,AMRL,AHU,AHU01,Heating Valve Output
1362,AMRL.AHU.AHU01.Outside Air Temp,AMRL,AHU,AHU01,Outside Air Temp
1363,AMRL.AHU.AHU01.Outside Air Temp Virt,AMRL,AHU,AHU01,Outside Air Temp Virt
1364,AMRL.AHU.AHU01.Supply Air Fan Start/Stop,AMRL,AHU,AHU01,Supply Air Fan Start/Stop
1365,AMRL.AHU.AHU01.Supply Air Temp,AMRL,AHU,AHU01,Supply Air Temp
1366,AMRL.AHU.AHU01.Supply Air Temp Sp,AMRL,AHU,AHU01,Supply Air Temp Sp
1513,ARC.AHU.AHU01.Cooling Valve Output,ARC,AHU,AHU01,Cooling Valve Output
1514,ARC.AHU.AHU01.Economizer Mode,ARC,AHU,AHU01,Economizer Mode
1515,ARC.AHU.AHU01.Heating Valve Output,ARC,AHU,AHU01,Heating Valve Output
1516,ARC.AHU.AHU01.Mixed Air Damper Output,ARC,AHU,AHU01,Mixed Air Damper Output
1517,ARC.AHU.AHU01.Mixed Air Temp,ARC,AHU,AHU01,Mixed Air Temp
1518,ARC.AHU.AHU01.Outside Air Temp,ARC,AHU,AHU01,Outside Air Temp
1519,ARC.AHU.AHU01.Outside Air Temp Virt,ARC,AHU,AHU01,Outside Air Temp Virt
1520,ARC.AHU.AHU01.Return Air Fan Start/Stop,ARC,AHU,AHU01,Return Air Fan Start/Stop
1521,ARC.AHU.AHU01.Return Air Fan VFD Power HP,ARC,AHU,AHU01,Return Air Fan VFD Power HP
1523,ARC.AHU.AHU01.Return Air Fan VFD:DRIVE KWH,ARC,AHU,AHU01,Return Air Fan VFD:DRIVE KWH
1526,ARC.AHU.AHU01.Return Air Fan VFD:RUN OP MODE,ARC,AHU,AHU01,Return Air Fan VFD:RUN OP MODE
1527,ARC.AHU.AHU01.Return Air Temp,ARC,AHU,AHU01,Return Air Temp
1528,ARC.AHU.AHU01.Return Fan VFD Frequency,ARC,AHU,AHU01,Return Fan VFD Frequency
1529,ARC.AHU.AHU01.Return Fan VFD Output,ARC,AHU,AHU01,Return Fan VFD Output
1530,ARC.AHU.AHU01.Return Fan VFD Speed,ARC,AHU,AHU01,Return Fan VFD Speed
1531,ARC.AHU.AHU01.Supply Air Fan Start/Stop,ARC,AHU,AHU01,Supply Air Fan Start/Stop
1532,ARC.AHU.AHU01.Supply Air Fan VFD Power HP,ARC,AHU,AHU01,Supply Air Fan VFD Power HP
1534,ARC.AHU.AHU01.Supply Air Fan VFD:DRIVE KWH,ARC,AHU,AHU01,Supply Air Fan VFD:DRIVE KWH
1537,ARC.AHU.AHU01.Supply Air Pressure,ARC,AHU,AHU01,Supply Air Pressure
1538,ARC.AHU.AHU01.Supply Air Pressure Sp,ARC,AHU,AHU01,Supply Air Pressure Sp
1539,ARC.AHU.AHU01.Supply Air Temp,ARC,AHU,AHU01,Supply Air Temp
1540,ARC.AHU.AHU01.Supply Air Temp Sp,ARC,AHU,AHU01,Supply Air Temp Sp
