,point,Building,Zone,Room_Number,Sensor_Type
293,ACAD.AHU01.RM2339_MIX.Zone Air Temp Sp,ACAD,AHU01,RM2339_MIX,Zone Air Temp Sp
294,ACAD.AHU01.RM2339_MIX.Zone Percent Air Flow,ACAD,AHU01,RM2339_MIX,Zone Percent Air Flow
295,ACAD.AHU01.RM2339_MIX.Zone Supply Air Flow,ACAD,AHU01,RM2339_MIX,Zone Supply Air Flow
296,ACAD.AHU01.RM2339_MIX.Zone Supply Air Temp,ACAD,AHU01,RM2339_MIX,Zone Supply Air Temp
297,ACAD.AHU01.RM2341.Zone Air Control Temp,ACAD,AHU01,RM2341,Zone Air Control Temp
298,ACAD.AHU01.RM2341_MIX.Zone Air Damper Command,ACAD,AHU01,RM2341_MIX,Zone Air Damper Command
299,ACAD.AHU01.RM2341_MIX.Zone Air Temp,ACAD,AHU01,RM2341_MIX,Zone Air Temp
300,ACAD.AHU01.RM2341_MIX.Zone Air Temp Sp,ACAD,AHU01,RM2341_MIX,Zone Air Temp Sp
301,ACAD.AHU01.RM2341_MIX.Zone Percent Air Flow,ACAD,AHU01,RM2341_MIX,Zone Percent Air Flow
302,ACAD.AHU01.RM2341_MIX.Zone Supply Air Flow,ACAD,AHU01,RM2341_MIX,Zone Supply Air Flow
303,ACAD.AHU01.RM2341_MIX.Zone Supply Air Temp,ACAD,AHU01,RM2341_MIX,Zone Supply Air Temp
304,ACAD.AHU01.RM2343.Zone Air Control Temp,ACAD,AHU01,RM2343,Zone Air Control Temp
305,ACAD.AHU01.RM2343_MIX.Zone Air Damper Command,ACAD,AHU01,RM2343_MIX,Zone Air Damper Command
306,ACAD.AHU01.RM2343_MIX.Zone Air Temp,ACAD,AHU01,RM2343_MIX,Zone Air Temp
307,ACAD.AHU01.RM2343_MIX.Zone Air Temp Sp,ACAD,AHU01,RM2343_MIX,Zone Air Temp Sp
308,ACAD.AHU01.RM2343_MIX.Zone Percent Air Flow,ACAD,AHU01,RM2343_MIX,Zone Percent Air Flow
309,ACAD.AHU01.RM2343_MIX.Zone Supply Air Flow,ACAD,AHU01,RM2343_MIX,Zone Supply Air Flow
310,ACAD.AHU01.RM2343_MIX.Zone Supply Air Temp,ACAD,AHU01,RM2343_MIX,Zone Supply Air Temp
311,ACAD.AHU01.RM2345.Zone Air Control Temp,ACAD,AHU01,RM2345,Zone Air Control Temp
312,ACAD.AHU01.RM2345_MIX.Zone Air Damper Command,ACAD,AHU01,RM2345_MIX,Zone Air Damper Command
313,ACAD.AHU01.RM2345_MIX.Zone Air Temp,ACAD,AHU01,RM2345_MIX,Zone Air Temp
314,ACAD.AHU01.RM2345_MIX.Zone Air Temp Sp,ACAD,AHU01,RM2345_MIX,Zone Air Temp Sp
315,ACAD.AHU01.RM2345_MIX.Zone Percent Air Flow,ACAD,AHU01,RM2345_MIX,Zone Percent Air Flow
316,ACAD.AHU01.RM2345_MIX.Zone Supply Air Flow,ACAD,AHU01,RM2345_MIX,Zone Supply Air Flow
317,ACAD.AHU01.RM2345_MIX.Zone Supply Air Temp,ACAD,AHU01,RM2345_MIX,Zone Supply Air Temp
318,ACAD.AHU01.RM2346.Zone Air Control Temp,ACAD,AHU01,RM2346,Zone Air Control Temp
319,ACAD.AHU01.RM2346_MIX.Zone Air Damper Command,ACAD,AHU01,RM2346_MIX,Zone Air Damper Command
320,ACAD.AHU01.RM2346_MIX.Zone Air Temp,ACAD,AHU01,RM2346_MIX,Zone Air Temp
321,ACAD.AHU01.RM2346_MIX.Zone Air Temp Sp,ACAD,AHU01,RM2346_MIX,Zone Air Temp Sp
322,ACAD.AHU01.RM2346_MIX.Zone Percent Air Flow,ACAD,AHU01,RM2346_MIX,Zone Percent Air Flow
323,ACAD.AHU01.RM2346_MIX.Zone Supply Air Flow,ACAD,AHU01,RM2346_MIX,Zone Supply Air Flow
324,ACAD.AHU01.RM2346_MIX.Zone Supply Air Temp,ACAD,AHU01,RM2346_MIX,Zone Supply Air Temp
325,ACAD.AHU01.RM2356.Zone Air Control Temp,ACAD,AHU01,RM2356,Zone Air Control Temp
326,ACAD.AHU01.RM2356_MIX.Zone Air Damper Command,ACAD,AHU01,RM2356_MIX,Zone Air Damper Command
327,ACAD.AHU01.RM2356_MIX.Zone Air Temp,ACAD,AHU01,RM2356_MIX,Zone Air Temp
328,ACAD.AHU01.RM2356_MIX.Zone Air Temp Sp,ACAD,AHU01,RM2356_MIX,Zone Air Temp Sp
329,ACAD.AHU01.RM2356_MIX.Zone Percent Air Flow,ACAD,AHU01,RM2356_MIX,Zone Percent Air Flow
330,ACAD.AHU01.RM2356_MIX.Zone Supply Air Flow,ACAD,AHU01,RM2356_MIX,Zone Supply Air Flow
331,ACAD.AHU01.RM2356_MIX.Zone Supply Air Temp,ACAD,AHU01,RM2356_MIX,Zone Supply Air Temp
332,ACAD.AHU01.RM2362.Zone Air Control Temp,ACAD,AHU01,RM2362,Zone Air Control Temp
333,ACAD.AHU01.RM2362_MIX.Zone Air Damper Command,ACAD,AHU01,RM2362_MIX,Zone Air Damper Command
334,ACAD.AHU01.RM2362_MIX.Zone Air Temp,ACAD,AHU01,RM2362_MIX,Zone Air Temp
335,ACAD.AHU01.RM2362_MIX.Zone Air Temp Sp,ACAD,AHU01,RM2362_MIX,Zone Air Temp Sp
336,ACAD.AHU01.RM2362_MIX.Zone Percent Air Flow,ACAD,AHU01,RM2362_MIX,Zone Percent Air Flow
337,ACAD.AHU01.RM2362_MIX.Zone Supply Air Flow,ACAD,AHU01,RM2362_MIX,Zone Supply Air Flow
338,ACAD.AHU01.RM2362_MIX.Zone Supply Air Temp,ACAD,AHU01,RM2362_MIX,Zone Supply Air Temp
339,ACAD.AHU01.RM2363.Zone Air Control Temp,ACAD,AHU01,RM2363,Zone Air Control Temp
340,ACAD.AHU01.RM2363_MIX.Zone Air Damper Command,ACAD,AHU01,RM2363_MIX,Zone Air Damper Command
341,ACAD.AHU01.RM2363_MIX.Zone Air Temp,ACAD,AHU01,RM2363_MIX,Zone Air Temp
342,ACAD.AHU01.RM2363_MIX.Zone Air Temp Sp,ACAD,AHU01,RM2363_MIX,Zone Air Temp Sp
343,ACAD.AHU01.RM2363_MIX.Zone Percent Air Flow,ACAD,AHU01,RM2363_MIX,Zone Percent Air Flow
344,ACAD.AHU01.RM2363_MIX.Zone Supply Air Flow,ACAD,AHU01,RM2363_MIX,Zone Supply Air Flow
345,ACAD.AHU01.RM2363_MIX.Zone Supply Air Temp,ACAD,AHU01,RM2363_MIX,Zone Supply Air Temp
346,ACAD.AHU01.RM2366.Zone Air Control Temp,ACAD,AHU01,RM2366,Zone Air Control Temp
347,ACAD.AHU01.RM2366_MIX.Zone Air Damper Command,ACAD,AHU01,RM2366_MIX,Zone Air Damper Command
348,ACAD.AHU01.RM2366_MIX.Zone Air Temp,ACAD,AHU01,RM2366_MIX,Zone Air Temp
349,ACAD.AHU01.RM2366_MIX.Zone Air Temp Sp,ACAD,AHU01,RM2366_MIX,Zone Air Temp Sp
350,ACAD.AHU01.RM2366_MIX.Zone Percent Air Flow,ACAD,AHU01,RM2366_MIX,Zone Percent Air Flow
351,ACAD.AHU01.RM2366_MIX.Zone Supply Air Flow,ACAD,AHU01,RM2366_MIX,Zone Supply Air Flow
352,ACAD.AHU01.RM2366_MIX.Zone Supply Air Temp,ACAD,AHU01,RM2366_MIX,Zone Supply Air Temp
353,ACAD.AHU01.RM2367.Zone Air Control Temp,ACAD,AHU01,RM2367,Zone Air Control Temp
354,ACAD.AHU01.RM2367_MIX.Zone Air Damper Command,ACAD,AHU01,RM2367_MIX,Zone Air Damper Command
355,ACAD.AHU01.RM2367_MIX.Zone Air Temp,ACAD,AHU01,RM2367_MIX,Zone Air Temp
356,ACAD.AHU01.RM2367_MIX.Zone Percent Air Flow,ACAD,AHU01,RM2367_MIX,Zone Percent Air Flow
357,ACAD.AHU01.RM2367_MIX.Zone Supply Air Flow,ACAD,AHU01,RM2367_MIX,Zone Supply Air Flow
