,point,Building,Equipment_Type,Sensor_Type
39472,PES_ICS.HHW.PEAKFLOW,PES_ICS,HHW,PEAKFLOW
39473,PES_ICS.HHW.Pump 3 Speed,PES_ICS,HHW,Pump 3 Speed
39474,PES_ICS.HHW.Pump 3 Status,PES_ICS,HHW,Pump 3 Status
39475,PES_ICS.HHW.Pump 4 Speed,PES_ICS,HHW,Pump 4 Speed
39476,PES_ICS.HHW.Pump 4 Status,PES_ICS,HHW,Pump 4 Status
39479,PES_ICS.HHW.Steam Flow Rate,PES_ICS,HHW,Steam Flow Rate
39480,PES_ICS.HHW.THERMS,PES_ICS,HHW,THERMS
39481,PES_ICS.HHW.THERMSH,PES_ICS,HHW,THERMSH
39482,PES_ICS.HHW.Total Hot Water Flow,PES_ICS,HHW,Total Hot Water Flow
39981,PHSL.HHW.Building Hot Water Flow,PHSL,HHW,Building Hot Water Flow
39982,PHSL.HHW.Building Hot Water Return Temp,PHSL,HHW,Building Hot Water Return Temp
39983,PHSL.HHW.Building Hot Water Supply Temp,PHSL,HHW,Building Hot Water Supply Temp
39984,PHSL.HHW.Building Hot Water Supply Temp Setpoint,PHSL,HHW,Building Hot Water Supply Temp Setpoint
39985,PHSL.HHW.ENABLE,PHSL,HHW,ENABLE
39986,PHSL.HHW.Hot Water Flow Switch,PHSL,HHW,Hot Water Flow Switch
39987,PHSL.HHW.Outside Air Enable,PHSL,HHW,Outside Air Enable
39988,PHSL.HHW.Outside Air Temp,PHSL,HHW,Outside Air Temp
39989,PHSL.HHW.Pump 1 Speed,PHSL,HHW,Pump 1 Speed
39990,PHSL.HHW.Pump 1 Status,PHSL,HHW,Pump 1 Status
39991,PHSL.HHW.Pump 2 Speed,PHSL,HHW,Pump 2 Speed
39992,PHSL.HHW.Pump 2 Status,PHSL,HHW,Pump 2 Status
39993,PHSL.HHW.STMVLV,PHSL,HHW,STMVLV
40075,PH_GEO.HHW.1/3 Steam Valve Position,PH_GEO,HHW,1/3 Steam Valve Position
40076,PH_GEO.HHW.2/3 Steam Valve Position,PH_GEO,HHW,2/3 Steam Valve Position
40077,PH_GEO.HHW.BUILD DP,PH_GEO,HHW,BUILD DP
40078,PH_GEO.HHW.Building Hot Water Flow,PH_GEO,HHW,Building Hot Water Flow
40079,PH_GEO.HHW.Building Hot Water Return Temp,PH_GEO,HHW,Building Hot Water Return Temp
40080,PH_GEO.HHW.Building Hot Water Supply Temp,PH_GEO,HHW,Building Hot Water Supply Temp
40081,PH_GEO.HHW.Building Hot Water Supply Temp Setpoint,PH_GEO,HHW,Building Hot Water Supply Temp Setpoint
40082,PH_GEO.HHW.ENABLE,PH_GEO,HHW,ENABLE
40083,PH_GEO.HHW.EOLDP,PH_GEO,HHW,EOLDP
40084,PH_GEO.HHW.EOLDP SP,PH_GEO,HHW,EOLDP SP
40085,PH_GEO.HHW.HEX 1_3 Staefa,PH_GEO,HHW,HEX 1_3 Staefa
40086,PH_GEO.HHW.Hot Water Flow Switch,PH_GEO,HHW,Hot Water Flow Switch
40087,PH_GEO.HHW.LEADLAG,PH_GEO,HHW,LEADLAG
40088,PH_GEO.HHW.MBH,PH_GEO,HHW,MBH
40089,PH_GEO.HHW.Outside Air Enable,PH_GEO,HHW,Outside Air Enable
40090,PH_GEO.HHW.Outside Air Temp,PH_GEO,HHW,Outside Air Temp
40091,PH_GEO.HHW.Pump1_SVB,PH_GEO,HHW,Pump1_SVB
40092,PH_GEO.HHW.Pump2_SVB,PH_GEO,HHW,Pump2_SVB
40093,PH_GEO.HHW.Pump 1 Speed,PH_GEO,HHW,Pump 1 Speed
40094,PH_GEO.HHW.Pump 1 Status,PH_GEO,HHW,Pump 1 Status
40095,PH_GEO.HHW.Pump 2 Speed,PH_GEO,HHW,Pump 2 Speed
40096,PH_GEO.HHW.Pump 2 Status,PH_GEO,HHW,Pump 2 Status
40097,PH_GEO.HHW.Pump 3 Speed,PH_GEO,HHW,Pump 3 Speed
40098,PH_GEO.HHW.Pump 3 Status,PH_GEO,HHW,Pump 3 Status
40566,PRB.HHW.Building Hot Water Return Temp,PRB,HHW,Building Hot Water Return Temp
40567,PRB.HHW.Building Hot Water Supply Temp,PRB,HHW,Building Hot Water Supply Temp
40568,PRB.HHW.ENABLE,PRB,HHW,ENABLE
40571,PRB.HHW.Outside Air Enable,PRB,HHW,Outside Air Enable
40572,PRB.HHW.Outside Air Temp,PRB,HHW,Outside Air Temp
40573,PRB.HHW.Pump 1 Speed,PRB,HHW,Pump 1 Speed
40574,PRB.HHW.Pump 1 Status,PRB,HHW,Pump 1 Status
40575,PRB.HHW.Pump 2 Speed,PRB,HHW,Pump 2 Speed
40576,PRB.HHW.Pump 2 Status,PRB,HHW,Pump 2 Status
41461,ROBN.HHW.Building Hot Water Flow,ROBN,HHW,Building Hot Water Flow
41462,ROBN.HHW.Building Hot Water Return Temp,ROBN,HHW,Building Hot Water Return Temp
41463,ROBN.HHW.Building Hot Water Supply Temp,ROBN,HHW,Building Hot Water Supply Temp
41464,ROBN.HHW.Building Hot Water Supply Temp Setpoint,ROBN,HHW,Building Hot Water Supply Temp Setpoint
41465,ROBN.HHW.ENABLE,ROBN,HHW,ENABLE
41466,ROBN.HHW.EOLDP,ROBN,HHW,EOLDP
41467,ROBN.HHW.EOLDP SP,ROBN,HHW,EOLDP SP
41468,ROBN.HHW.Outside Air Temp,ROBN,HHW,Outside Air Temp
41469,ROBN.HHW.Pump1_Start/Stop,ROBN,HHW,Pump1_Start/Stop
41470,ROBN.HHW.Pump2_Start/Stop,ROBN,HHW,Pump2_Start/Stop
41471,ROBN.HHW.Pump 1 Speed,ROBN,HHW,Pump 1 Speed
41472,ROBN.HHW.Pump 1 Speed Feedback,ROBN,HHW,Pump 1 Speed Feedback
41473,ROBN.HHW.Pump 1 Status,ROBN,HHW,Pump 1 Status
41474,ROBN.HHW.Pump 2 Speed,ROBN,HHW,Pump 2 Speed
41475,ROBN.HHW.Pump 2 Speed Feedback,ROBN,HHW,Pump 2 Speed Feedback
41476,ROBN.HHW.Pump 2 Status,ROBN,HHW,Pump 2 Status
41477,ROBN.HHW.STEAM VLV,ROBN,HHW,STEAM VLV
41853,ROBS.HHW.Building Hot Water Flow,ROBS,HHW,Building Hot Water Flow
41854,ROBS.HHW.Building Hot Water Return Temp,ROBS,HHW,Building Hot Water Return Temp
41855,ROBS.HHW.Building Hot Water Supply Temp,ROBS,HHW,Building Hot Water Supply Temp
41856,ROBS.HHW.Building Hot Water Supply Temp Setpoint,ROBS,HHW,Building Hot Water Supply Temp Setpoint
41857,ROBS.HHW.ENABLE,ROBS,HHW,ENABLE
41858,ROBS.HHW.EOLDP,ROBS,HHW,EOLDP
41859,ROBS.HHW.EOLDP SP,ROBS,HHW,EOLDP SP
41860,ROBS.HHW.Hot Water Flow Switch,ROBS,HHW,Hot Water Flow Switch
41861,ROBS.HHW.Pump1_Start/Stop,ROBS,HHW,Pump1_Start/Stop
41862,ROBS.HHW.Pump2_Start/Stop,ROBS,HHW,Pump2_Start/Stop
41863,ROBS.HHW.Pump 1 Speed,ROBS,HHW,Pump 1 Speed
41864,ROBS.HHW.Pump 1 Speed Feedback,ROBS,HHW,Pump 1 Speed Feedback
41865,ROBS.HHW.Pump 1 Status,ROBS,HHW,Pump 1 Status
41866,ROBS.HHW.Pump 2 Speed,ROBS,HHW,Pump 2 Speed
41867,ROBS.HHW.Pump 2 Speed Feedback,ROBS,HHW,Pump 2 Speed Feedback
41868,ROBS.HHW.Pump 2 Status,ROBS,HHW,Pump 2 Status
41869,ROBS.HHW.STEAM PSI,ROBS,HHW,STEAM PSI
42070,ROES.HHW.SYSTEM10_DELTA TEMP,ROES,HHW,SYSTEM10_DELTA TEMP
42071,ROES.HHW.SYSTEM10_ENERGY RATE,ROES,HHW,SYSTEM10_ENERGY RATE
42072,ROES.HHW.SYSTEM10_RETURNTEMP,ROES,HHW,SYSTEM10_RETURNTEMP
42073,ROES.HHW.SYSTEM10_SUPPLYTEMP,ROES,HHW,SYSTEM10_SUPPLYTEMP
42074,ROES.HHW.SYSTEM10_VOLUME RATE,ROES,HHW,SYSTEM10_VOLUME RATE
42161,RYER.HHW.ISOVLV,RYER,HHW,ISOVLV
42162,RYER.HHW.MODVLV,RYER,HHW,MODVLV
42738,SCC.HHW.Building Hot Water Flow,SCC,HHW,Building Hot Water Flow
42739,SCC.HHW.Building Hot Water Return Temp,SCC,HHW,Building Hot Water Return Temp
42740,SCC.HHW.Building Hot Water Supply Temp,SCC,HHW,Building Hot Water Supply Temp
42741,SCC.HHW.Building Hot Water Supply Temp Setpoint,SCC,HHW,Building Hot Water Supply Temp Setpoint
42743,SCC.HHW.ENABLE,SCC,HHW,ENABLE
42749,SCC.HHW.HWSO,SCC,HHW,HWSO
42750,SCC.HHW.HX1/4,SCC,HHW,HX1/4
42751,SCC.HHW.HX1/4O,SCC,HHW,HX1/4O
42752,SCC.HHW.HX3/4,SCC,HHW,HX3/4
42753,SCC.HHW.HX3/4O,SCC,HHW,HX3/4O
42754,SCC.HHW.LEADLAG,SCC,HHW,LEADLAG
42755,SCC.HHW.Outside Air Enable,SCC,HHW,Outside Air Enable
42756,SCC.HHW.OA LOW,SCC,HHW,OA LOW
42757,SCC.HHW.OA OK,SCC,HHW,OA OK
42758,SCC.HHW.Outside Air Temp Virt,SCC,HHW,Outside Air Temp Virt
42759,SCC.HHW.Pump 1 Status,SCC,HHW,Pump 1 Status
42760,SCC.HHW.Pump 2 Status,SCC,HHW,Pump 2 Status
42842,SCHM.HHW.Building Hot Water Return Temp,SCHM,HHW,Building Hot Water Return Temp
42843,SCHM.HHW.Building Hot Water Supply Temp,SCHM,HHW,Building Hot Water Supply Temp
42844,SCHM.HHW.Building Hot Water Supply Temp Setpoint,SCHM,HHW,Building Hot Water Supply Temp Setpoint
42845,SCHM.HHW.COND Status,SCHM,HHW,COND Status
42846,SCHM.HHW.COND TEMP,SCHM,HHW,COND TEMP
42847,SCHM.HHW.HEXVALVE,SCHM,HHW,HEXVALVE
42848,SCHM.HHW.Hot Water Flow,SCHM,HHW,Hot Water Flow
42849,SCHM.HHW.Hot Water Flow Switch,SCHM,HHW,Hot Water Flow Switch
42850,SCHM.HHW.HWP1,SCHM,HHW,HWP1
42851,SCHM.HHW.Steam Flow Rate,SCHM,HHW,Steam Flow Rate
42852,SCHM.HHW.Steam Valve Position,SCHM,HHW,Steam Valve Position
42853,SCHM.HHW.STM PSI,SCHM,HHW,STM PSI
42854,SCHM.HHW.STM TEMP,SCHM,HHW,STM TEMP
44527,SHIELDS_EXP.HHW.Building Hot Water Flow,SHIELDS_EXP,HHW,Building Hot Water Flow
44528,SHIELDS_OLD_RM62.HHW.Building Hot Water Flow,SHIELDS_OLD_RM62,HHW,Building Hot Water Flow
44529,SHIELDS_OLD_RM65.HHW.Building Hot Water Flow,SHIELDS_OLD_RM65,HHW,Building Hot Water Flow
44820,SLAB.HHW.BLDGDP1,SLAB,HHW,BLDGDP1
44821,SLAB.HHW.BLDGDP2,SLAB,HHW,BLDGDP2
44822,SLAB.HHW.BLDGFLOW,SLAB,HHW,BLDGFLOW
44823,SLAB.HHW.Building Hot Water Supply Temp,SLAB,HHW,Building Hot Water Supply Temp
44824,SLAB.HHW.Call,SLAB,HHW,Call
44827,SLAB.HHW.ENABLE,SLAB,HHW,ENABLE
44828,SLAB.HHW.EOLDPSP,SLAB,HHW,EOLDPSP
44829,SLAB.HHW.FLOWSW,SLAB,HHW,FLOWSW
44831,SLAB.HHW.HWP1,SLAB,HHW,HWP1
44833,SLAB.HHW.HWP2,SLAB,HHW,HWP2
44835,SLAB.HHW.Hot Water Return,SLAB,HHW,Hot Water Return
44836,SLAB.HHW.Outside Air Temp,SLAB,HHW,Outside Air Temp
44837,SLAB.HHW.OSAOK,SLAB,HHW,OSAOK
44840,SLAB.HHW.STMV1O,SLAB,HHW,STMV1O
44841,SLAB.HHW.STMV2O,SLAB,HHW,STMV2O
44842,SLAB.HHW.STMVLV1_3,SLAB,HHW,STMVLV1_3
44843,SLAB.HHW.STMVLV2_3,SLAB,HHW,STMVLV2_3
44844,SLAB.HHW.VIRTUALFLOWSW,SLAB,HHW,VIRTUALFLOWSW
44958,SLEC.HHW.Building Hot Water Supply Temp,SLEC,HHW,Building Hot Water Supply Temp
45283,SMOA.HHW.BLR1_FIRING RATE,SMOA,HHW,BLR1_FIRING RATE
45284,SMOA.HHW.BLR1_HX TEMP,SMOA,HHW,BLR1_HX TEMP
45285,SMOA.HHW.BLR1_RETURN TEMP,SMOA,HHW,BLR1_RETURN TEMP
45286,SMOA.HHW.BLR1_SUPPLY TEMP,SMOA,HHW,BLR1_SUPPLY TEMP
45294,SMOA.HHW.BLR2_FIRING RATE,SMOA,HHW,BLR2_FIRING RATE
45295,SMOA.HHW.BLR2_HX TEMP,SMOA,HHW,BLR2_HX TEMP
45296,SMOA.HHW.BLR2_RETURN TEMP,SMOA,HHW,BLR2_RETURN TEMP
45297,SMOA.HHW.BLR2_SUPPLY TEMP,SMOA,HHW,BLR2_SUPPLY TEMP
45298,SMOA.HHW.BLRSEQ,SMOA,HHW,BLRSEQ
45299,SMOA.HHW.BTUMETER_ENERGY RATE,SMOA,HHW,BTUMETER_ENERGY RATE
45300,SMOA.HHW.BTUMETER_M1 ENER TOTL,SMOA,HHW,BTUMETER_M1 ENER TOTL
45301,SMOA.HHW.BTUMETER_RETURN TEMP,SMOA,HHW,BTUMETER_RETURN TEMP
45302,SMOA.HHW.BTUMETER_SUPPLY TEMP,SMOA,HHW,BTUMETER_SUPPLY TEMP
45303,SMOA.HHW.BTUMETER_VOLUME RATE,SMOA,HHW,BTUMETER_VOLUME RATE
45304,SMOA.HHW.Building Hot Water Flow,SMOA,HHW,Building Hot Water Flow
45305,SMOA.HHW.Building Hot Water Return Temp,SMOA,HHW,Building Hot Water Return Temp
45306,SMOA.HHW.Building Hot Water Supply Temp,SMOA,HHW,Building Hot Water Supply Temp
45307,SMOA.HHW.BYPVALVE,SMOA,HHW,BYPVALVE
45308,SMOA.HHW.EOLDP,SMOA,HHW,EOLDP
45315,SMOA.HHW.HWP1VFD_DRIVE MWH,SMOA,HHW,HWP1VFD_DRIVE MWH
45316,SMOA.HHW.HWP1VFD_DRIVE TEMP,SMOA,HHW,HWP1VFD_DRIVE TEMP
45317,SMOA.HHW.HWP1VFD_POWER,SMOA,HHW,HWP1VFD_POWER
45321,SMOA.HHW.HWP2VFD_DRIVE MWH,SMOA,HHW,HWP2VFD_DRIVE MWH
45322,SMOA.HHW.HWP2VFD_DRIVE TEMP,SMOA,HHW,HWP2VFD_DRIVE TEMP
45323,SMOA.HHW.HWP2VFD_POWER,SMOA,HHW,HWP2VFD_POWER
45325,SMOA.HHW.LAGSYSTEM,SMOA,HHW,LAGSYSTEM
45326,SMOA.HHW.MAXFIRINGRATE,SMOA,HHW,MAXFIRINGRATE
45328,SMOA.HHW.OAHUM,SMOA,HHW,OAHUM
45329,SMOA.HHW.Outside Air Temp,SMOA,HHW,Outside Air Temp
45331,SMOA.HHW.Outside Air Temp VirtO2,SMOA,HHW,Outside Air Temp VirtO2
45332,SMOA.HHW.Pump 1 Speed,SMOA,HHW,Pump 1 Speed
45333,SMOA.HHW.Pump 1 Status,SMOA,HHW,Pump 1 Status
45334,SMOA.HHW.Pump 2 Speed,SMOA,HHW,Pump 2 Speed
45335,SMOA.HHW.Pump 2 Status,SMOA,HHW,Pump 2 Status
45336,SMOA.HHW.PUMPSEQ,SMOA,HHW,PUMPSEQ
45338,SMOA.HHW.SYSTEM,SMOA,HHW,SYSTEM
47077,SOCS.HHW.1/3 Steam Valve Position,SOCS,HHW,1/3 Steam Valve Position
47078,SOCS.HHW.2/3 Steam Valve Position,SOCS,HHW,2/3 Steam Valve Position
47079,SOCS.HHW.Building Hot Water Flow,SOCS,HHW,Building Hot Water Flow
47080,SOCS.HHW.Building Hot Water Return Temp,SOCS,HHW,Building Hot Water Return Temp
47081,SOCS.HHW.Building Hot Water Supply Temp,SOCS,HHW,Building Hot Water Supply Temp
47082,SOCS.HHW.Building Hot Water Supply Temp Setpoint,SOCS,HHW,Building Hot Water Supply Temp Setpoint
47083,SOCS.HHW.ENABLE,SOCS,HHW,ENABLE
47084,SOCS.HHW.EOLDP,SOCS,HHW,EOLDP
47085,SOCS.HHW.EOLDP SP,SOCS,HHW,EOLDP SP
47086,SOCS.HHW.Hot Water Flow Switch,SOCS,HHW,Hot Water Flow Switch
47087,SOCS.HHW.MBH,SOCS,HHW,MBH
47088,SOCS.HHW.Outside Air Enable,SOCS,HHW,Outside Air Enable
47089,SOCS.HHW.Outside Air Temp,SOCS,HHW,Outside Air Temp
47090,SOCS.HHW.Pump 1 Speed,SOCS,HHW,Pump 1 Speed
47091,SOCS.HHW.Pump 1 Status,SOCS,HHW,Pump 1 Status
47092,SOCS.HHW.Pump 2 Speed,SOCS,HHW,Pump 2 Speed
47093,SOCS.HHW.Pump 2 Status,SOCS,HHW,Pump 2 Status
47094,SOCS.HHW.THERMSH,SOCS,HHW,THERMSH
47116,SPRL.HHW.Building Hot Water Return Temp,SPRL,HHW,Building Hot Water Return Temp
47117,SPRL.HHW.Building Hot Water Supply Temp,SPRL,HHW,Building Hot Water Supply Temp
47118,SPRL.HHW.Building Hot Water Supply Temp Setpoint,SPRL,HHW,Building Hot Water Supply Temp Setpoint
47119,SPRL.HHW.ENABLE,SPRL,HHW,ENABLE
47709,SSC.HHW.2NDSTAGE,SSC,HHW,2NDSTAGE
47710,SSC.HHW.Building Hot Water Return Temp,SSC,HHW,Building Hot Water Return Temp
47711,SSC.HHW.Building Hot Water Supply Temp,SSC,HHW,Building Hot Water Supply Temp
47712,SSC.HHW.Building Hot Water Supply Temp Setpoint,SSC,HHW,Building Hot Water Supply Temp Setpoint
47714,SSC.HHW.Condensate Flow Rate,SSC,HHW,Condensate Flow Rate
47715,SSC.HHW.Condensate Flow RateUTILITY,SSC,HHW,Condensate Flow RateUTILITY
47716,SSC.HHW.ENABLE,SSC,HHW,ENABLE
47719,SSC.HHW.HWD,SSC,HHW,HWD
47721,SSC.HHW.HWSO,SSC,HHW,HWSO
47722,SSC.HHW.HX1 1/4,SSC,HHW,HX1 1/4
47723,SSC.HHW.HX1 3/4,SSC,HHW,HX1 3/4
47724,SSC.HHW.HX1 42373,SSC,HHW,HX1 42373
47725,SSC.HHW.HX1 42433,SSC,HHW,HX1 42433
47731,SSC.HHW.HX2 1/4,SSC,HHW,HX2 1/4
47732,SSC.HHW.HX2 3/4,SSC,HHW,HX2 3/4
47733,SSC.HHW.HX2 42373,SSC,HHW,HX2 42373
47734,SSC.HHW.HX2 42433,SSC,HHW,HX2 42433
47740,SSC.HHW.MBH,SSC,HHW,MBH
47741,SSC.HHW.Outside Air Enable,SSC,HHW,Outside Air Enable
47742,SSC.HHW.Outside Air Temp Virt,SSC,HHW,Outside Air Temp Virt
47743,SSC.HHW.Pump 1 Speed,SSC,HHW,Pump 1 Speed
47744,SSC.HHW.Pump 1 Status,SSC,HHW,Pump 1 Status
47745,SSC.HHW.Pump 2 Speed,SSC,HHW,Pump 2 Speed
47746,SSC.HHW.Pump 2 Status,SSC,HHW,Pump 2 Status
47747,SSC.HHW.PUMP DP,SSC,HHW,PUMP DP
47748,SSC.HHW.PUMP DP SP,SSC,HHW,PUMP DP SP
48776,STOR.HHW.1/3 Steam Valve Position,STOR,HHW,1/3 Steam Valve Position
48777,STOR.HHW.2/3 Steam Valve Position,STOR,HHW,2/3 Steam Valve Position
48778,STOR.HHW.Building Hot Water Supply Temp Setpoint,STOR,HHW,Building Hot Water Supply Temp Setpoint
48779,STOR.HHW.COND1 STATUS,STOR,HHW,COND1 STATUS
48780,STOR.HHW.COND2 STATUS,STOR,HHW,COND2 STATUS
48781,STOR.HHW.ENABLE,STOR,HHW,ENABLE
48782,STOR.HHW.EOLDP,STOR,HHW,EOLDP
48783,STOR.HHW.EOLDP SP,STOR,HHW,EOLDP SP
48784,STOR.HHW.HIGH LOW,STOR,HHW,HIGH LOW
48785,STOR.HHW.Hot Water Flow Switch,STOR,HHW,Hot Water Flow Switch
48786,STOR.HHW.Outside Air Enable,STOR,HHW,Outside Air Enable
48787,STOR.HHW.Outside Air Temp,STOR,HHW,Outside Air Temp
48788,STOR.HHW.Pump3_Start/Stop,STOR,HHW,Pump3_Start/Stop
48789,STOR.HHW.Pump3_VFD_FREQ OUTPUT,STOR,HHW,Pump3_VFD_FREQ OUTPUT
48790,STOR.HHW.Pump3_VFD_PCT OUTPUT,STOR,HHW,Pump3_VFD_PCT OUTPUT
48791,STOR.HHW.Pump3_VFD_POWER,STOR,HHW,Pump3_VFD_POWER
48792,STOR.HHW.P3_P4 TOTAL POWER,STOR,HHW,P3_P4 TOTAL POWER
48793,STOR.HHW.Pump4_Start/Stop,STOR,HHW,Pump4_Start/Stop
48794,STOR.HHW.Pump4_VFD_FREQ OUTPUT,STOR,HHW,Pump4_VFD_FREQ OUTPUT
48795,STOR.HHW.Pump4_VFD_PCT OUTPUT,STOR,HHW,Pump4_VFD_PCT OUTPUT
48796,STOR.HHW.Pump4_VFD_POWER,STOR,HHW,Pump4_VFD_POWER
48797,STOR.HHW.Pump 3 Speed,STOR,HHW,Pump 3 Speed
48798,STOR.HHW.Pump 3 Status,STOR,HHW,Pump 3 Status
48800,STOR.HHW.Pump 4 Speed,STOR,HHW,Pump 4 Speed
48801,STOR.HHW.Pump 4 Status,STOR,HHW,Pump 4 Status
48803,STOR.HHW.STM PSI,STOR,HHW,STM PSI
48808,STORER.HHW.Building Hot Water Flow,STORER,HHW,Building Hot Water Flow
48809,STORER.HHW.Building Hot Water Return Temp,STORER,HHW,Building Hot Water Return Temp
48810,STORER.HHW.Building Hot Water Supply Temp,STORER,HHW,Building Hot Water Supply Temp
48811,STORER.HHW.MBH,STORER,HHW,MBH
48812,STORER.HHW.THERMSH,STORER,HHW,THERMSH
49070,SURGE3_NW.HHW.Building Hot Water Flow,SURGE3_NW,HHW,Building Hot Water Flow
49071,SURGE3_SW.HHW.Building Hot Water Flow,SURGE3_SW,HHW,Building Hot Water Flow
49143,SWL.HHW.Building Hot Water Flow,SWL,HHW,Building Hot Water Flow
49144,SWL.HHW.Building Hot Water Return Temp,SWL,HHW,Building Hot Water Return Temp
49145,SWL.HHW.Building Hot Water Supply Temp,SWL,HHW,Building Hot Water Supply Temp
49650,TAPS.HHW.Building Hot Water Return Temp,TAPS,HHW,Building Hot Water Return Temp
49651,TAPS.HHW.Building Hot Water Supply Temp,TAPS,HHW,Building Hot Water Supply Temp
49652,TAPS.HHW.Hot Water Flow Switch,TAPS,HHW,Hot Water Flow Switch
49653,TAPS.HHW.MAXVAVHWV,TAPS,HHW,MAXVAVHWV
49654,TAPS.HHW.Pump 1 Status,TAPS,HHW,Pump 1 Status
49655,TAPS.HHW.SYSTEM,TAPS,HHW,SYSTEM
50016,TCAMP.HHW.1/3 Steam Valve Position,TCAMP,HHW,1/3 Steam Valve Position
50017,TCAMP.HHW.2/3 Steam Valve Position,TCAMP,HHW,2/3 Steam Valve Position
50018,TCAMP.HHW.Average Hot Water Flow,TCAMP,HHW,Average Hot Water Flow
50019,TCAMP.HHW.Building Hot Water Return Temp,TCAMP,HHW,Building Hot Water Return Temp
50020,TCAMP.HHW.Building Hot Water Supply Temp,TCAMP,HHW,Building Hot Water Supply Temp
50021,TCAMP.HHW.Building Hot Water Supply Temp Setpoint,TCAMP,HHW,Building Hot Water Supply Temp Setpoint
50022,TCAMP.HHW.Condensate Flow RateUTILITY,TCAMP,HHW,Condensate Flow RateUTILITY
50023,TCAMP.HHW.ENABLE,TCAMP,HHW,ENABLE
50024,TCAMP.HHW.HEX 1/4O,TCAMP,HHW,HEX 1/4O
50025,TCAMP.HHW.HEX 3/4O,TCAMP,HHW,HEX 3/4O
50026,TCAMP.HHW.HEX 42373,TCAMP,HHW,HEX 42373
50027,TCAMP.HHW.HEX 42433,TCAMP,HHW,HEX 42433
50028,TCAMP.HHW.Hot Water Flow,TCAMP,HHW,Hot Water Flow
50029,TCAMP.HHW.Hot Water Flow Switch,TCAMP,HHW,Hot Water Flow Switch
50030,TCAMP.HHW.HWDT,TCAMP,HHW,HWDT
50031,TCAMP.HHW.HWSO,TCAMP,HHW,HWSO
50032,TCAMP.HHW.PUMPENABLE,TCAMP,HHW,PUMPENABLE
50565,TER1.HHW.1/3 Steam Valve Position,TER1,HHW,1/3 Steam Valve Position
50566,TER1.HHW.2/3 Steam Valve Position,TER1,HHW,2/3 Steam Valve Position
50567,TER1.HHW.Average Hot Water Flow,TER1,HHW,Average Hot Water Flow
50568,TER1.HHW.Building Hot Water Return Temp,TER1,HHW,Building Hot Water Return Temp
50569,TER1.HHW.Building Hot Water Supply Temp,TER1,HHW,Building Hot Water Supply Temp
50570,TER1.HHW.Building Hot Water Supply Temp Setpoint,TER1,HHW,Building Hot Water Supply Temp Setpoint
50571,TER1.HHW.ENABLE,TER1,HHW,ENABLE
50572,TER1.HHW.HEX 1/3O,TER1,HHW,HEX 1/3O
50573,TER1.HHW.HEX 2/3O,TER1,HHW,HEX 2/3O
50574,TER1.HHW.HEX 42372,TER1,HHW,HEX 42372
50575,TER1.HHW.HEX 42403,TER1,HHW,HEX 42403
50576,TER1.HHW.Hot Water Flow,TER1,HHW,Hot Water Flow
50577,TER1.HHW.Hot Water Flow Switch,TER1,HHW,Hot Water Flow Switch
50578,TER1.HHW.HWDT,TER1,HHW,HWDT
50579,TER1.HHW.HWSO,TER1,HHW,HWSO
50580,TER1.HHW.MBTU/HR,TER1,HHW,MBTU/HR
50581,TER1.HHW.MBTUUSAGE,TER1,HHW,MBTUUSAGE
50582,TER1.HHW.PUMPENABLE,TER1,HHW,PUMPENABLE
51090,TERC.HHW.BLDG DP,TERC,HHW,BLDG DP
51091,TERC.HHW.ENABLE,TERC,HHW,ENABLE
51092,TERC.HHW.HEATINGSWITCH,TERC,HHW,HEATINGSWITCH
51093,TERC.HHW.HWAVAILABLE,TERC,HHW,HWAVAILABLE
51094,TERC.HHW.Hot Water Return,TERC,HHW,Hot Water Return
51095,TERC.HHW.HWS,TERC,HHW,HWS
51096,TERC.HHW.Outside Air Temp,TERC,HHW,Outside Air Temp
51097,TERC.HHW.Pump 1 Speed,TERC,HHW,Pump 1 Speed
51098,TERC.HHW.Pump 1 Status,TERC,HHW,Pump 1 Status
52157,THUR.HHW.Building Hot Water Flow,THUR,HHW,Building Hot Water Flow
52158,THUR.HHW.Building Hot Water Return Temp,THUR,HHW,Building Hot Water Return Temp
52159,THUR.HHW.Building Hot Water Supply Temp,THUR,HHW,Building Hot Water Supply Temp
52160,THUR.HHW.ENABLE,THUR,HHW,ENABLE
52162,THUR.HHW.Hot Water Return,THUR,HHW,Hot Water Return
52163,THUR.HHW.HHWS,THUR,HHW,HHWS
52166,THUR.HHW.HWP2A_FREQ OUTPUT,THUR,HHW,HWP2A_FREQ OUTPUT
52167,THUR.HHW.HWP2A_PCT OUTPUT,THUR,HHW,HWP2A_PCT OUTPUT
52168,THUR.HHW.HWP2A_POWER,THUR,HHW,HWP2A_POWER
52173,THUR.HHW.HWP2B_FREQ OUTPUT,THUR,HHW,HWP2B_FREQ OUTPUT
52174,THUR.HHW.HWP2B_PCT OUTPUT,THUR,HHW,HWP2B_PCT OUTPUT
52175,THUR.HHW.HWP2B_POWER,THUR,HHW,HWP2B_POWER
52176,THUR.HHW.Outside Air Temp,THUR,HHW,Outside Air Temp
52183,THUR.HHW.Pump 2A Speed,THUR,HHW,Pump 2A Speed
52184,THUR.HHW.Pump 2A Status,THUR,HHW,Pump 2A Status
52185,THUR.HHW.Pump 2B Speed,THUR,HHW,Pump 2B Speed
